Type,Date,Open,High,Low,Close,Adj Close,Volume
BTC,3/30/2017,1042.209961,1049.290039,1020.039978,1026.430054,1026.430054,352968992
BTC,3/31/2017,1026.640015,1074.920044,1026.640015,1071.790039,1071.790039,447287008
BTC,4/1/2017,1071.709961,1091.719971,1061.089966,1080.5,1080.5,289633984
BTC,4/2/2017,1080.609985,1107.589966,1075.449951,1102.170044,1102.170044,514187008
BTC,4/3/2017,1102.949951,1151.73999,1102.949951,1143.810059,1143.810059,580444032
BTC,4/4/2017,1145.52002,1156.439941,1120.52002,1133.25,1133.25,436310016
BTC,4/5/2017,1134.140015,1135.089966,1113.630005,1124.780029,1124.780029,414784000
BTC,4/6/2017,1125.810059,1188.369995,1125.810059,1182.680054,1182.680054,511222016
BTC,4/7/2017,1178.939941,1186.579956,1163.390015,1176.900024,1176.900024,317022016
BTC,4/8/2017,1172.650024,1184.97998,1162.579956,1175.949951,1175.949951,209312000
BTC,4/9/2017,1176.569946,1197.209961,1171.859985,1187.869995,1187.869995,242343008
BTC,4/10/2017,1187.300049,1190.339966,1179.040039,1187.130005,1187.130005,215883008
BTC,4/11/2017,1187.459961,1208.069946,1187.459961,1205.01001,1205.01001,216182000
BTC,4/12/2017,1204.810059,1207.140015,1196.76001,1200.369995,1200.369995,288702016
BTC,4/13/2017,1201.02002,1205.890015,1156.439941,1169.280029,1169.280029,351968992
BTC,4/14/2017,1170.329956,1190.800049,1159.790039,1167.540039,1167.540039,254827008
BTC,4/15/2017,1167.300049,1188,1164.959961,1172.52002,1172.52002,203559008
BTC,4/16/2017,1172.609985,1187.219971,1172.609985,1182.939941,1182.939941,183231008
BTC,4/17/2017,1183.25,1194.900024,1172.650024,1193.910034,1193.910034,253206000
BTC,4/18/2017,1193.77002,1217.569946,1193.77002,1211.670044,1211.670044,270524000
BTC,4/19/2017,1212.130005,1215.51001,1205.079956,1210.290039,1210.290039,288060992
BTC,4/20/2017,1211.079956,1240.790039,1208.410034,1229.079956,1229.079956,315108000
BTC,4/21/2017,1229.420044,1235.939941,1215.560059,1222.050049,1222.050049,272167008
